Category,Word,WF
Magical creature--uncategorized,ogre,"defaultdict(<class 'list'>, {3: [(8, 1)]})"
Magical food--drink,firewhisky,"defaultdict(<class 'list'>, {2: [(6, 1)], 4: [(10, 1)], 5: [(16, 1), (25, 2), (32, 1)], 6: [(12, 1), (15, 1)], 7: [(5, 6), (7, 1), (8, 2), (14, 1), (31, 1)]})"
Magical government--department--law,Wizengamot,"defaultdict(<class 'list'>, {5: [(5, 1), (7, 1), (8, 9), (9, 2), (11, 2), (14, 2), (15, 2), (34, 1), (38, 1)], 6: [(3, 1), (10, 1)], 7: [(2, 4), (12, 1), (18, 1)]})"
Magical plant,aconite,"defaultdict(<class 'list'>, {1: [(8, 1)]})"
Magical plant,Alihotsy,"defaultdict(<class 'list'>, {})"
Magical plant,asphodel,"defaultdict(<class 'list'>, {1: [(8, 2)]})"
Magical plant,Bubotuber,"defaultdict(<class 'list'>, {4: [(13, 2), (15, 1), (28, 2)], 6: [(5, 1)]})"
Magical plant,Dittany,"defaultdict(<class 'list'>, {1: [(14, 1)], 6: [(24, 1)], 7: [(14, 2), (17, 1), (27, 2)]})"
Magical plant,Gurdyroot,"defaultdict(<class 'list'>, {6: [(20, 2)], 7: [(21, 2)]})"
Magical plant,Puffapod,"defaultdict(<class 'list'>, {3: [(8, 1)]})"
Magical plant,Screechsnap,"defaultdict(<class 'list'>, {5: [(25, 1)]})"
Magical plant,Snargaluff,"defaultdict(<class 'list'>, {6: [(14, 2)], 7: [(20, 1), (30, 1), (32, 2)]})"
Magical plant,wormwood,"defaultdict(<class 'list'>, {1: [(8, 2)]})"
Magical profession,auror,"defaultdict(<class 'list'>, {4: [(11, 1), (13, 1), (19, 2), (20, 1), (24, 1), (25, 2), (29, 2), (30, 2), (35, 2)], 5: [(3, 2), (6, 1), (7, 3), (12, 1), (15, 1), (27, 1), (29, 8), (31, 2)], 6: [(1, 2), (2, 1), (3, 2), (4, 1), (5, 3), (7, 2), (8, 1), (9, 1), (15, 2), (16, 3)], 7: [(1, 2), (12, 1)]})"
Name of broomstick,Nimbus,"defaultdict(<class 'list'>, {1: [(5, 1), (9, 1), (10, 8), (11, 3), (13, 3)], 2: [(1, 1), (4, 2), (7, 2), (8, 2), (14, 1)], 3: [(1, 1), (4, 1), (6, 1), (9, 6), (10, 2), (11, 1), (12, 1), (13, 2), (15, 1)], 5: [(9, 1)]})"
Name of magical creature--centaur,Bane,"defaultdict(<class 'list'>, {1: [(15, 14), (16, 1)], 5: [(27, 2), (30, 5), (33, 5)], 7: [(36, 2)]})"
Name of magical creature--centaur,Magorian,"defaultdict(<class 'list'>, {5: [(30, 10), (33, 7)], 7: [(36, 1)]})"
Name of magical creature--centaur,Ronan,"defaultdict(<class 'list'>, {1: [(15, 20)], 5: [(33, 2)], 7: [(36, 1)]})"
