HP3Item,Category,Word,Word WF,Alternate form,Alternate form WF
26,Name of wizard--shop owner--Diagon Alley,Malkin,"defaultdict(<class 'list'>, {1: [(5, 3)], 6: [(6, 6), (7, 1), (30, 1)]})",,"defaultdict(<class 'list'>, {})"
26,Name of wizard--shop owner--Diagon Alley,Ollivander,"defaultdict(<class 'list'>, {1: [(5, 18)], 4: [(18, 19), (36, 1)], 6: [(6, 2), (7, 1)], 7: [(5, 2), (6, 1), (8, 5), (12, 2), (17, 1), (21, 1), (23, 7), (24, 35), (25, 9), (26, 3), (32, 2), (35, 1), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
29,Spell--dark,Morsmordre,"defaultdict(<class 'list'>, {4: [(9, 1)]})",,"defaultdict(<class 'list'>, {})"
29,Spell--Unforgivable Curse,Crucio,"defaultdict(<class 'list'>, {4: [(14, 1), (29, 1), (31, 1), (33, 2)], 5: [(31, 1), (35, 1), (36, 2)], 6: [(28, 2)], 7: [(23, 1), (30, 1), (31, 1), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
30,Spell,Riddikulus,"defaultdict(<class 'list'>, {3: [(7, 10), (12, 1)], 4: [(31, 1)], 5: [(9, 6)]})",,"defaultdict(<class 'list'>, {})"
30,Spell--dark,Sectumsempra,"defaultdict(<class 'list'>, {6: [(21, 1), (24, 4), (26, 2), (29, 1), (30, 1)], 7: [(5, 1), (33, 1)]})",,"defaultdict(<class 'list'>, {})"
31,Magical area of study--Hogwarts,Arithmancy,"defaultdict(<class 'list'>, {2: [(14, 1)], 3: [(4, 1), (6, 5), (12, 5), (15, 2), (16, 2)], 4: [(13, 1), (20, 1), (29, 1)], 5: [(15, 1), (27, 1), (29, 1), (31, 2)], 6: [(9, 2), (15, 1), (24, 1)]})",,"defaultdict(<class 'list'>, {})"
33,Name of wizarding school,Beauxbatons,"defaultdict(<class 'list'>, {4: [(9, 3), (11, 1), (12, 3), (15, 5), (16, 15), (19, 3), (21, 1), (22, 1), (23, 8), (24, 3), (28, 6), (29, 1), (31, 3), (37, 2)], 6: [(5, 1)]})",,"defaultdict(<class 'list'>, {})"
34,Magical food--drink,butterbeer,"defaultdict(<class 'list'>, {3: [(8, 2), (10, 3), (12, 5), (13, 2), (22, 1)], 4: [(17, 1), (19, 4), (21, 1), (23, 1), (24, 3), (28, 4)], 5: [(5, 6), (9, 2), (10, 1), (13, 4), (16, 5), (18, 1), (22, 4), (26, 1)], 6: [(12, 2), (14, 2), (15, 1), (18, 1), (19, 1)], 7: [(8, 2), (11, 1), (23, 1)]})",,"defaultdict(<class 'list'>, {})"
34,Magical food--drink,gillywater,"defaultdict(<class 'list'>, {3: [(10, 1)], 5: [(25, 1)], 6: [(15, 1)]})",,"defaultdict(<class 'list'>, {})"
39,Name of magical creature--pet--owl,Hedwig,"defaultdict(<class 'list'>, {1: [(6, 6), (8, 3), (14, 2), (16, 2)], 2: [(1, 1), (2, 2), (3, 4), (5, 4), (7, 1), (12, 1)], 3: [(1, 8), (2, 3), (3, 4), (4, 1), (5, 3), (8, 1), (14, 3), (16, 1), (22, 2)], 4: [(2, 5), (3, 6), (10, 4), (13, 1), (14, 7), (15, 6), (18, 5), (19, 1), (28, 3), (37, 2)], 5: [(3, 6), (4, 6), (6, 2), (9, 3), (10, 5), (12, 1), (14, 2), (17, 16), (18, 3), (23, 1), (25, 1), (38, 1)], 6: [(3, 2), (5, 1), (6, 1), (7, 1), (11, 1)], 7: [(2, 2), (4, 7), (5, 2), (19, 1), (34, 1)]})",,"defaultdict(<class 'list'>, {})"
40,Name of magical creature--pet--owl,Errol,"defaultdict(<class 'list'>, {2: [(3, 1), (4, 3), (6, 3)], 3: [(1, 5), (2, 3), (4, 1), (5, 1)], 4: [(3, 2), (5, 1)]})",,"defaultdict(<class 'list'>, {})"
40,Name of magical creature--pet--owl,Hermes,"defaultdict(<class 'list'>, {2: [(3, 1)], 3: [(5, 1)], 4: [(5, 1)], 5: [(14, 2)]})",,"defaultdict(<class 'list'>, {})"
41,Name of shop--Hogsmeade,Honeydukes,"defaultdict(<class 'list'>, {3: [(5, 1), (8, 3), (10, 11), (11, 1), (13, 1), (14, 4), (17, 1)], 4: [(19, 2), (28, 1)], 5: [(1, 1)], 6: [(4, 1), (12, 2)]})",,"defaultdict(<class 'list'>, {})"
41,Name of shop--Hogsmeade,Zonko's,"defaultdict(<class 'list'>, {})",,"defaultdict(<class 'list'>, {})"
42,Magical artifact--communication,Howlers,"defaultdict(<class 'list'>, {4: [(10, 2), (28, 1)]})",,"defaultdict(<class 'list'>, {})"
43,Magical ability,Apparition,"defaultdict(<class 'list'>, {3: [(14, 1)], 4: [(6, 4), (29, 1)], 6: [(3, 1), (4, 2), (17, 8), (18, 7), (20, 1), (21, 6), (22, 3), (27, 1)], 7: [(3, 1), (12, 1), (14, 3), (15, 1), (19, 1), (30, 1)]})",,"defaultdict(<class 'list'>, {})"
43,Magical ability,Legilimans,"defaultdict(<class 'list'>, {})",Legilimancy,"defaultdict(<class 'list'>, {})"
44,Magical plant,gillyweed,"defaultdict(<class 'list'>, {4: [(26, 6), (27, 2), (28, 1), (35, 2)]})",,"defaultdict(<class 'list'>, {})"
44,Magical plant,mandrakes,"defaultdict(<class 'list'>, {2: [(6, 5), (9, 1), (11, 2), (13, 1), (14, 1), (16, 2)], 7: [(31, 1)]})",,"defaultdict(<class 'list'>, {})"
45,Type of wizard,Mudblood,"defaultdict(<class 'list'>, {2: [(7, 2), (12, 3), (17, 1)], 4: [(9, 2), (11, 1), (18, 1), (23, 1)], 5: [(6, 3), (28, 1)], 6: [(6, 1), (10, 1), (21, 1), (27, 2), (29, 1)], 7: [(1, 1), (10, 4), (12, 1), (23, 12), (24, 2), (31, 1), (33, 5), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
